image_name,disease_type,healthy_pixels,disease_pixels,vegetation_pixels,healthy_percentage,disease_percentage,severity
Apple_0003,cedar_apple_rust,96438,3363,99801,96.63,3.37,Low
Apple_0010,cedar_apple_rust,82305,636,82941,99.23,0.77,Low
Apple_0015,cedar_apple_rust,72496,1443,73939,98.05,1.95,Low
Apple_0021,cedar_apple_rust,113012,2080,115092,98.19,1.81,Low
Apple_0035,cedar_apple_rust,81283,906,82189,98.9,1.1,Low
Apple_0038,cedar_apple_rust,79093,2044,81137,97.48,2.52,Low
Apple_0039,cedar_apple_rust,114956,1504,116460,98.71,1.29,Low
Apple_0047,cedar_apple_rust,116027,1500,117527,98.72,1.28,Low
Apple_0050,cedar_apple_rust,65380,1816,67196,97.3,2.7,Low
Apple_0057,cedar_apple_rust,70897,810,71707,98.87,1.13,Low
Apple_0058,cedar_apple_rust,117497,1243,118740,98.95,1.05,Low
Apple_0064,cedar_apple_rust,100447,1718,102165,98.32,1.68,Low
Apple_0069,cedar_apple_rust,110501,1506,112007,98.66,1.34,Low
Apple_0071,cedar_apple_rust,65969,2464,68433,96.4,3.6,Low
Apple_0081,cedar_apple_rust,97896,3517,101413,96.53,3.47,Low
Apple_0082,cedar_apple_rust,131746,2097,133843,98.43,1.57,Low
Apple_0087,cedar_apple_rust,103324,1403,104727,98.66,1.34,Low
Apple_0089,cedar_apple_rust,129864,1316,131180,99.0,1.0,Low
Apple_0092,cedar_apple_rust,93849,3268,97117,96.63,3.37,Low
Apple_0098,cedar_apple_rust,120795,908,121703,99.25,0.75,Low
Apple_0102,cedar_apple_rust,85912,1168,87080,98.66,1.34,Low
Apple_0115,cedar_apple_rust,67026,2450,69476,96.47,3.53,Low
Apple_0117,cedar_apple_rust,56472,938,57410,98.37,1.63,Low
Apple_0118,cedar_apple_rust,27604,773,28377,97.28,2.72,Low
Apple_0120,cedar_apple_rust,136324,1037,137361,99.25,0.75,Low
Apple_0121,cedar_apple_rust,93586,1902,95488,98.01,1.99,Low
Apple_0124,cedar_apple_rust,115018,2064,117082,98.24,1.76,Low
Apple_0129,cedar_apple_rust,104116,4227,108343,96.1,3.9,Low
Apple_0131,cedar_apple_rust,48393,696,49089,98.58,1.42,Low
Apple_0132,cedar_apple_rust,115590,6305,121895,94.83,5.17,Low
Apple_0141,cedar_apple_rust,81761,1501,83262,98.2,1.8,Low
Apple_0148,cedar_apple_rust,88614,457,89071,99.49,0.51,Low
Apple_0157,cedar_apple_rust,87311,4589,91900,95.01,4.99,Low
Apple_0159,cedar_apple_rust,75125,1088,76213,98.57,1.43,Low
Apple_0164,cedar_apple_rust,76696,2926,79622,96.33,3.67,Low
Apple_0178,cedar_apple_rust,54664,1973,56637,96.52,3.48,Low
Apple_0183,cedar_apple_rust,49743,849,50592,98.32,1.68,Low
Apple_0184,cedar_apple_rust,141368,1158,142526,99.19,0.81,Low
Apple_0188,cedar_apple_rust,43924,821,44745,98.17,1.83,Low
Apple_0193,cedar_apple_rust,105296,1295,106591,98.79,1.21,Low
Apple_0194,cedar_apple_rust,113209,759,113968,99.33,0.67,Low
Apple_0202,cedar_apple_rust,91736,1742,93478,98.14,1.86,Low
Apple_0205,cedar_apple_rust,82574,1475,84049,98.25,1.75,Low
Apple_0206,cedar_apple_rust,42153,537,42690,98.74,1.26,Low
Apple_0208,cedar_apple_rust,120601,1122,121723,99.08,0.92,Low
Apple_0212,cedar_apple_rust,92874,4187,97061,95.69,4.31,Low
Apple_0218,cedar_apple_rust,115010,745,115755,99.36,0.64,Low
Apple_0223,cedar_apple_rust,75705,1385,77090,98.2,1.8,Low
Apple_0226,cedar_apple_rust,108217,936,109153,99.14,0.86,Low
Apple_0228,cedar_apple_rust,93647,2939,96586,96.96,3.04,Low
Apple_0233,cedar_apple_rust,60615,2036,62651,96.75,3.25,Low
Apple_0236,cedar_apple_rust,94753,749,95502,99.22,0.78,Low
Apple_0240,cedar_apple_rust,127368,2735,130103,97.9,2.1,Low
Apple_0241,cedar_apple_rust,111415,2296,113711,97.98,2.02,Low
Apple_0244,cedar_apple_rust,96682,484,97166,99.5,0.5,Low
Apple_0269,cedar_apple_rust,109625,1619,111244,98.54,1.46,Low
Apple_0274,cedar_apple_rust,106962,1385,108347,98.72,1.28,Low
Apple_0275,cedar_apple_rust,61936,809,62745,98.71,1.29,Low
Apple_0277,cedar_apple_rust,68728,600,69328,99.13,0.87,Low
Apple_0285,cedar_apple_rust,107388,3245,110633,97.07,2.93,Low
Apple_0289,cedar_apple_rust,121528,4259,125787,96.61,3.39,Low
Apple_0299,cedar_apple_rust,93430,1752,95182,98.16,1.84,Low
Apple_0301,cedar_apple_rust,95471,2809,98280,97.14,2.86,Low
Apple_0318,cedar_apple_rust,118976,2266,121242,98.13,1.87,Low
Apple_0322,cedar_apple_rust,110820,2737,113557,97.59,2.41,Low
Apple_0323,cedar_apple_rust,77784,2861,80645,96.45,3.55,Low
Apple_0327,cedar_apple_rust,112070,2107,114177,98.15,1.85,Low
Apple_0328,cedar_apple_rust,79020,1167,80187,98.54,1.46,Low
Apple_0331,cedar_apple_rust,104852,1080,105932,98.98,1.02,Low
Apple_0333,cedar_apple_rust,98575,2615,101190,97.42,2.58,Low
Apple_0334,cedar_apple_rust,49423,2171,51594,95.79,4.21,Low
Apple_0340,cedar_apple_rust,113555,2664,116219,97.71,2.29,Low
Apple_0344,cedar_apple_rust,113955,1462,115417,98.73,1.27,Low
Apple_0351,cedar_apple_rust,83896,1733,85629,97.98,2.02,Low
Apple_0368,cedar_apple_rust,111113,1219,112332,98.91,1.09,Low
Apple_0369,cedar_apple_rust,110073,1347,111420,98.79,1.21,Low
Apple_0371,cedar_apple_rust,47447,507,47954,98.94,1.06,Low
Apple_0384,cedar_apple_rust,131491,1662,133153,98.75,1.25,Low
Apple_0455,cedar_apple_rust,84110,2213,86323,97.44,2.56,Low
Apple_0456,cedar_apple_rust,124705,1483,126188,98.82,1.18,Low
