image_name,disease_type,healthy_pixels,disease_pixels,vegetation_pixels,healthy_percentage,disease_percentage,severity
Wheat_C230514_0004,wheat_stripe_rust,30020,12988,43008,69.8,30.2,High
Wheat_C230514_0005,wheat_stripe_rust,27696,3139,30835,89.82,10.18,Moderate
Wheat_C230514_0006,wheat_stripe_rust,28339,13519,41858,67.7,32.3,High
Wheat_C230514_0007,wheat_stripe_rust,34088,3348,37436,91.06,8.94,Low
Wheat_C230514_0008,wheat_stripe_rust,25700,11016,36716,70.0,30.0,Moderate
Wheat_C230514_0009,wheat_stripe_rust,26152,18144,44296,59.04,40.96,High
Wheat_C230514_0010,wheat_stripe_rust,28511,13198,41709,68.36,31.64,High
Wheat_C230514_0011,wheat_stripe_rust,30412,2271,32683,93.05,6.95,Low
Wheat_C230514_0012,wheat_stripe_rust,18658,26566,45224,41.26,58.74,Severe
Wheat_C230514_0013,wheat_stripe_rust,32191,4093,36284,88.72,11.28,Moderate
Wheat_C230514_0014,wheat_stripe_rust,28917,13120,42037,68.79,31.21,High
Wheat_C230514_0015,wheat_stripe_rust,45839,4122,49961,91.75,8.25,Low
Wheat_C230514_0016,wheat_stripe_rust,44662,7819,52481,85.1,14.9,Moderate
Wheat_C230514_0017,wheat_stripe_rust,21730,16152,37882,57.36,42.64,High
Wheat_C230514_0019,wheat_stripe_rust,28086,2971,31057,90.43,9.57,Low
Wheat_C230514_0023,wheat_stripe_rust,43130,5487,48617,88.71,11.29,Moderate
Wheat_C230514_0024,wheat_stripe_rust,40236,4191,44427,90.57,9.43,Low
Wheat_C230514_0026,wheat_stripe_rust,40240,4819,45059,89.31,10.69,Moderate
Wheat_C230514_0028,wheat_stripe_rust,28420,11728,40148,70.79,29.21,Moderate
Wheat_C230514_0029,wheat_stripe_rust,41737,5131,46868,89.05,10.95,Moderate
Wheat_C230514_0030,wheat_stripe_rust,33886,7347,41233,82.18,17.82,Moderate
Wheat_C230514_0031,wheat_stripe_rust,44933,4005,48938,91.82,8.18,Low
Wheat_C230514_0032,wheat_stripe_rust,18673,10319,28992,64.41,35.59,High
Wheat_C230514_0033,wheat_stripe_rust,37027,3103,40130,92.27,7.73,Low
Wheat_C230514_0034,wheat_stripe_rust,46580,2912,49492,94.12,5.88,Low
Wheat_C230514_0036,wheat_stripe_rust,32147,8009,40156,80.06,19.94,Moderate
Wheat_C230514_0038,wheat_stripe_rust,14700,13677,28377,51.8,48.2,High
Wheat_C230514_0039,wheat_stripe_rust,17119,11607,28726,59.59,40.41,High
Wheat_C230514_0040,wheat_stripe_rust,37891,2304,40195,94.27,5.73,Low
Wheat_C230514_0041,wheat_stripe_rust,39792,1413,41205,96.57,3.43,Low
